Date,stocktotal,stockgasoline,stockdistilled,pricegasoline,pricedistilled,consgasoline,consdistilled,gdp
"Mar 18, 1994",221918,180518,98771,42294,46452,52647,23835,7136.3
"Mar 25, 1994",216977,178229,97215,42504,46494,52367,23198,7136.3
"Apr 01, 1994",213868,176237,99172,42462,46578,51786,20321,7269.8
"Apr 08, 1994",211837,174298,97442,43176,46536,50309,24689,7269.8
"Apr 15, 1994",210367,172548,99302,43386,46410,54040,20678,7269.8
"Apr 22, 1994",215827,177587,97913,43554,46452,49294,25543,7269.8
"Apr 29, 1994",215173,176408,101258,43680,46368,55244,22813,7269.8
"May 06, 1994",220806,182882,102692,43890,46242,47768,22533,7269.8
"May 13, 1994",221215,183229,106128,43932,46158,52864,20342,7269.8
"May 20, 1994",217833,181364,104418,44100,46158,55566,23961,7269.8
"May 27, 1994",214405,179056,107136,44352,46116,56196,21364,7269.8
"Jun 03, 1994",216725,180397,111284,44730,46242,52227,20090,7269.8
"Jun 10, 1994",216815,180415,113247,45066,46116,54390,21490,7269.8
"Jun 17, 1994",215440,179024,116909,45318,46326,53550,19950,7269.8
"Jun 24, 1994",214928,180190,117228,45990,46536,55363,21525,7269.8
"Jul 01, 1994",213577,178565,120076,46074,46578,55510,19516,7352.3
"Jul 08, 1994",213607,177097,125133,46326,46620,52934,16114,7352.3
"Jul 15, 1994",210786,174491,127666,46578,46662,56042,19278,7352.3
"Jul 22, 1994",210340,174610,129199,46788,46662,52661,21259,7352.3
"Jul 29, 1994",208515,173482,132315,47460,46872,53067,19460,7352.3
"Aug 05, 1994",208802,173832,132895,48594,47334,53466,23065,7352.3
"Aug 12, 1994",204759,169721,134435,48762,47334,57309,20790,7352.3
"Aug 19, 1994",204822,170085,137256,48930,47208,54852,19922,7352.3
"Aug 26, 1994",206501,170348,134858,48762,47124,54250,25053,7352.3
"Sep 02, 1994",203398,167628,138328,48552,47292,56427,19474,7352.3
"Sep 09, 1994",207682,171165,141767,48300,47376,48685,18368,7352.3
"Sep 16, 1994",207967,170962,145413,47880,47292,53207,19348,7352.3
"Sep 23, 1994",207262,169984,144496,47418,47040,54341,23758,7352.3
"Sep 30, 1994",208167,170555,144818,47040,46956,54131,23471,7352.3
"Oct 07, 1994",208597,170701,146951,46788,46914,52605,20979,7476.7
"Oct 14, 1994",206013,169808,145170,46452,46998,52934,24507,7476.7
"Oct 21, 1994",202644,165197,146331,46494,47124,57001,21644,7476.7
"Oct 28, 1994",197671,160110,143730,47082,47586,57428,24416,7476.7
"Nov 04, 1994",200812,160750,141964,47166,47586,52024,23583,7476.7
"Nov 11, 1994",202319,162620,141934,47124,47670,51639,21385,7476.7
"Nov 18, 1994",206074,166229,140020,46746,47460,55503,25529,7476.7
"Nov 25, 1994",208845,168748,143608,46914,47292,52017,20489,7476.7
"Dec 02, 1994",214685,173223,145010,47334,47166,53151,21924,7476.7
"Dec 09, 1994",212280,172344,141539,47502,46788,57603,26782,7476.7
"Dec 16, 1994",212555,171935,141222,47628,46578,55531,22064,7476.7
"Dec 23, 1994",210269,168641,139266,47250,46452,57946,25760,7476.7
"Dec 30, 1994",210379,170102,142265,47334,46368,54026,20447,7476.7
"Jan 06, 1995",213545,172617,142731,47628,46284,49938,22848,7545.3
"Jan 13, 1995",215577,174547,141844,47292,46200,52738,23828,7545.3
"Jan 20, 1995",217341,175522,141064,47544,45990,50820,22449,7545.3
"Jan 27, 1995",220092,177741,136626,47502,45780,48832,25536,7545.3
"Feb 03, 1995",222808,178673,134993,47208,45612,50869,23107,7545.3
"Feb 10, 1995",224086,179472,129519,47082,45696,49924,26677,7545.3
"Feb 17, 1995",225627,179730,123966,46830,45696,51786,26593,7545.3
"Feb 24, 1995",224867,177843,121206,47082,45738,53690,24052,7545.3
"Mar 03, 1995",226427,180776,119974,47166,45738,50358,23219,7545.3
"Mar 10, 1995",225052,180559,117126,46872,45696,52836,25060,7545.3
"Mar 17, 1995",221863,176415,117534,46788,45570,54838,22680,7545.3
"Mar 24, 1995",219388,173898,117708,47082,45696,54579,22568,7545.3
"Mar 31, 1995",212188,169521,119081,47586,45948,57365,20293,7545.3
"Apr 07, 1995",211126,167305,115073,48258,46242,53116,26691,7604.9
"Apr 14, 1995",209230,167991,111837,48846,46452,52801,24206,7604.9
"Apr 21, 1995",207445,166416,113601,49728,46830,57092,20496,7604.9
"Apr 28, 1995",208167,166822,114444,50148,46998,54117,21819,7604.9
"May 05, 1995",208961,167764,112323,51072,47292,52773,23128,7604.9
"May 12, 1995",209092,166859,113359,51492,47292,56364,19544,7604.9
"May 19, 1995",207135,166985,112511,52248,47208,57281,20979,7604.9
"May 26, 1995",209982,170425,114253,52332,47460,54579,20132,7604.9
"Jun 02, 1995",208602,167900,116107,52332,47208,59220,21091,7604.9
"Jun 09, 1995",207887,167034,115804,52206,47124,56385,21434,7604.9
"Jun 16, 1995",210280,168086,117323,51912,46914,55797,21336,7604.9
"Jun 23, 1995",208332,167346,116322,51618,46704,59423,22393,7604.9
"Jun 30, 1995",207619,165529,116458,51324,46452,57666,21644,7604.9
"Jul 07, 1995",207854,166517,119134,50904,46326,55972,19040,7706.5
"Jul 14, 1995",208280,167607,122603,50400,46158,55062,19516,7706.5
"Jul 21, 1995",207955,166352,121931,50022,46116,59381,21266,7706.5
"Jul 28, 1995",207406,165923,122628,49518,45906,57491,20475,7706.5
"Aug 04, 1995",204700,162100,124400,49308,46158,58814,19285,7706.5
"Aug 11, 1995",203559,161626,124739,49224,46452,53396,20440,7706.5
"Aug 18, 1995",199666,158432,124388,49182,46452,58877,20867,7706.5
"Aug 25, 1995",196058,154925,124377,48846,46578,57442,22596,7706.5
"Sep 01, 1995",197186,156411,127310,48720,46830,54775,19040,7706.5
"Sep 08, 1995",196620,154557,129905,48636,46998,56546,20356,7706.5
"Sep 15, 1995",194930,152216,133639,48594,47124,57743,18823,7706.5
"Sep 22, 1995",196796,154591,131694,48552,47082,54747,23891,7706.5
"Sep 29, 1995",202806,160626,132005,48342,46914,50799,23121,7706.5
"Oct 06, 1995",201137,159069,131434,48048,46914,56742,22638,7799.5
"Oct 13, 1995",198720,157513,133528,47586,46914,55153,20699,7799.5
"Oct 20, 1995",199377,157877,131632,47250,46788,53984,23954,7799.5
"Oct 27, 1995",197584,155886,128734,46830,46620,56721,25298,7799.5
"Nov 03, 1995",195596,155634,130050,46704,46956,52143,22106,7799.5
"Nov 10, 1995",190148,150964,131011,46578,46956,59339,21728,7799.5
"Nov 17, 1995",192278,152089,130504,46452,46998,56147,25802,7799.5
"Nov 24, 1995",193076,151813,133426,46494,47208,54880,22960,7799.5
"Dec 01, 1995",196904,156079,134885,46536,47166,52073,22302,7799.5
"Dec 08, 1995",196587,154306,133613,46620,47208,55643,26775,7799.5
"Dec 15, 1995",198690,156542,129379,47208,47460,52423,28224,7799.5
"Dec 22, 1995",197873,154860,126452,47376,47922,56805,28014,7799.5
"Dec 29, 1995",203744,160817,128268,47418,48216,49245,22645,7799.5
"Jan 05, 1996",203560,160271,130131,47838,48132,55706,21245,7893.1
"Jan 12, 1996",205546,162058,125364,48090,48384,52591,27139,7893.1
"Jan 19, 1996",210659,167475,121184,47796,48048,48643,26495,7893.1
"Jan 26, 1996",211887,166922,116922,47586,47712,51751,25998,7893.1
"Feb 02, 1996",214405,169284,111644,47460,47460,52591,26187,7893.1
